replicate,k,subsample_size,ari_vs_primary_on_sample,nmi_vs_primary_on_sample,exact_label_match_fraction_after_permutation,permutation_mapping
276,6,632,0.4738595298430322,0.5699709283959057,0.6455696202531646,"{""0"": 2, ""1"": 3, ""2"": 0, ""3"": 4, ""4"": 1, ""5"": 5}"
277,2,632,0.9873618181534536,0.9723124057232461,0.9968354430379747,"{""0"": 1, ""1"": 0}"
277,3,632,0.9739549873227796,0.9587827889596371,0.9920886075949367,"{""0"": 0, ""1"": 2, ""2"": 1}"
277,4,632,0.9508798742003286,0.9371128649456233,0.9825949367088608,"{""0"": 1, ""1"": 0, ""2"": 3, ""3"": 2}"
277,5,632,0.9674403820047862,0.9594838501877376,0.9873417721518988,"{""0"": 4, ""1"": 3, ""2"": 1, ""3"": 2, ""4"": 0}"
277,6,632,0.7162477119080632,0.7662932393012657,0.8686708860759493,"{""0"": 0, ""1"": 3, ""2"": 2, ""3"": 5, ""4"": 4, ""5"": 1}"
278,2,632,0.9748037706223344,0.9508465064033694,0.9936708860759493,"{""0"": 1, ""1"": 0}"
278,3,632,0.9718038268488539,0.9484216915486038,0.990506329113924,"{""0"": 2, ""1"": 1, ""2"": 0}"
278,4,632,0.9553487643033445,0.9375443201885264,0.9841772151898734,"{""0"": 1, ""1"": 3, ""2"": 2, ""3"": 0}"
278,5,632,0.5499402109857704,0.653033789728299,0.7816455696202531,"{""0"": 1, ""1"": 3, ""2"": 0, ""3"": 4, ""4"": 2}"
278,6,632,0.7860133187388243,0.8073314251563517,0.9034810126582279,"{""0"": 3, ""1"": 0, ""2"": 1, ""3"": 2, ""4"": 5, ""5"": 4}"
279,2,632,0.987361812050309,0.9722697818088512,0.9968354430379747,"{""0"": 1, ""1"": 0}"
279,3,632,0.9721000350289257,0.9616256536249,0.9920886075949367,"{""0"": 0, ""1"": 1, ""2"": 2}"
279,4,632,0.9304816588563178,0.9149948051881132,0.9746835443037974,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 3}"
279,5,632,0.9443914398571582,0.9290038122628351,0.9778481012658228,"{""0"": 2, ""1"": 1, ""2"": 0, ""3"": 4, ""4"": 3}"
279,6,632,0.8673375222196944,0.8830266679364611,0.944620253164557,"{""0"": 5, ""1"": 4, ""2"": 2, ""3"": 3, ""4"": 0, ""5"": 1}"
