k,seed,ari_vs_primary,nmi_vs_primary
4,72,0.9713245247353863,0.9612866532619233
4,73,0.9745232601836216,0.9658483621778493
4,74,0.9938344988830727,0.9897840450248994
4,75,0.9739290060857295,0.9681149863699037
4,76,0.9745232601836216,0.9658483621778493
4,77,1.0,1.0
4,78,0.9739290060857295,0.9681149863699039
4,79,0.9713245247353863,0.9612866532619233
4,80,0.9745232601836216,0.9658483621778493
4,81,0.9747923988599088,0.9659117811563174
4,82,0.9713245247353863,0.9612866532619233
4,83,0.9713245247353863,0.9612866532619233
4,84,0.9739290060857295,0.9681149863699037
4,85,0.977956502284819,0.9716692619777434
4,86,0.9713245247353863,0.9612866532619233
4,87,0.9664507598155105,0.9587937349603901
4,88,0.9747923988599088,0.9659117811563176
4,89,0.9743657880022875,0.9670387526786149
4,90,0.9900870714571671,0.9837999073424848
4,91,0.9739290060857295,0.9681149863699037
4,92,0.9900870714571671,0.9837999073424848
4,93,0.9739290060857295,0.9681149863699037
4,94,0.9747923988599088,0.9659117811563174
4,95,0.9713245247353863,0.9612866532619233
4,96,0.9683029785032549,0.956824749253847
4,97,0.9747923988599088,0.9659117811563174
4,98,0.9748369032767725,0.9658941490275263
4,99,0.9713245247353863,0.9612866532619233
5,0,0.550768055304297,0.6405285075099569
5,1,0.8116942050930174,0.8186535108650118
5,2,0.728592326316989,0.7672473284315252
5,3,0.7561032208073261,0.7897771278703752
5,4,0.7561032208073261,0.7897771278703754
5,5,0.6238007729236495,0.685639623534204
5,6,0.5665550918436533,0.6504881811778416
5,7,0.5790357118260835,0.676437907426136
5,8,0.7125831974954826,0.7443155208107078
5,9,0.6927337916508426,0.7230762633768731
5,10,0.6238007729236495,0.6856396235342042
5,11,0.5633005365484127,0.6659739472066473
5,12,0.6328407159174959,0.6811837902758558
5,13,0.8645883499897521,0.8608598089891111
5,14,0.5612983204013557,0.6649167914096868
5,15,0.6158291405254365,0.6739058289016199
5,16,0.6704070654889406,0.7134338840416159
5,17,0.4281676806322674,0.5369166788590585
5,18,0.6620724871486445,0.7073766901911225
5,19,0.6238535689619347,0.685532482430794
5,20,0.46872463673693465,0.5780580228779792
5,21,0.4620450929025511,0.5563184582663586
5,22,0.6359316031907885,0.6891573135215362
5,23,0.4515821964595562,0.5739673350798769
5,24,0.49718773268217653,0.6171879685489859
5,25,0.5633005365484127,0.6659739472066473
5,26,0.6676864814333534,0.7116849203391067
5,27,0.5633005365484127,0.6659739472066473
5,28,0.6221094808560466,0.6805780211302943
5,29,0.5113781685260677,0.5910287250128031
5,30,0.6249398424478146,0.6863305573669444
5,31,0.6361673202066668,0.6927838945991288
5,32,0.7038321513633082,0.7556896686772092
5,33,0.517425289275158,0.6218449561697506
5,34,0.46128006194900684,0.5551161812713283
5,35,0.5539206008006671,0.6454423064713111
5,36,0.5489408479162899,0.6266924193487098
5,37,0.4508568345745414,0.560928021174973
5,38,0.7543560401512249,0.7914614708960018
5,39,0.6358755332873409,0.6925215937824233
5,40,0.4423432524117039,0.5719538662937996
5,41,0.5355538950716235,0.6470310914934572
5,42,0.6981361683115278,0.736297978972637
5,43,0.6114710791607021,0.668295005950455
5,44,0.4782856772540326,0.5826055757036177
5,45,0.6404639488618677,0.7213516235699485
5,46,0.6489075459933229,0.6931470171944283
5,47,0.5864681463377287,0.6828033041550906
5,48,0.749880151478089,0.7866354337511618
5,49,0.550768055304297,0.6405285075099569
5,50,0.638252859711176,0.6952820644930321
5,51,0.44212822549434827,0.5546235628137525
5,52,0.46151999997630794,0.5515355142984417
5,53,0.7518052633770779,0.767286893254686
5,54,0.5626677771379851,0.6462991269760191
5,55,0.6238007729236495,0.685639623534204
5,56,0.44009960248204766,0.5494495766962544
5,57,0.749880151478089,0.786635433751162
5,58,0.7702731259223828,0.7983868711430299
5,59,0.7050789449410539,0.746863381136306
5,60,0.7522159791158056,0.788520524220578
5,61,0.49177870963892933,0.6118811987847331
5,62,0.8826406396688207,0.87978994275249
5,63,0.7312439028025752,0.7696604391850559
5,64,0.442807453140702,0.5653003473073449
5,65,0.6252085155511921,0.68592832990953
5,66,0.8886150854811912,0.8882503618661264
5,67,0.6947372911661799,0.7371662351952141
5,68,0.489444302058901,0.6117745298671277
5,69,0.489444302058901,0.6117745298671277
5,70,0.5790357118260835,0.676437907426136
5,71,0.6428769126229652,0.691522771306805
5,72,0.6383321448145174,0.6952973805145051
5,73,0.6683205453679164,0.7144495680086226
5,74,0.6852876434428387,0.7235271935733978
5,75,0.5633005365484127,0.6659739472066474
5,76,0.5749392397344444,0.6557430973722362
